pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
702;9800702;Cingapura;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
703;9800703;Eslováquia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
704;9800704;Vietnã;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
705;9800705;Eslovênia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
706;9800706;Somália;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
710;9800710;África do Sul;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
716;9800716;Zimbábue;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
724;9800724;Espanha;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
728;9800728;Sudão do Sul;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
729;9800729;Sudão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
732;9800732;Saara Ocidental;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
740;9800740;Suriname;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
744;9800744;Svalbard e Jan Mayen Islands;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
748;9800748;Suazilândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
752;9800752;Suécia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
756;9800756;Suíça;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
760;9800760;Síria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
762;9800762;Tadjiquistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
764;9800764;Tailândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
768;9800768;Togo;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
772;9800772;Tokelau;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
776;9800776;Tonga;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
780;9800780;Trinidad e Tobago;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
784;9800784;Emirados Árabes Unidos;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
788;9800788;Tunísia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
792;9800792;Turquia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
795;9800795;Turcomenistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
796;9800796;Ilhas Turks e Caicos;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
798;9800798;Tuvalu;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
800;9800800;Uganda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
804;9800804;Ucrânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
807;9800807;Macedônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
818;9800818;Egito;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
826;9800826;Reino Unido;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
830;9800830;Ilhas do Canal;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
831;9800831;Guernsey;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
832;9800832;Jersey;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
833;9800833;Ilha de Man;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
834;9800834;Tanzânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
